1 Q0 34852269115580416	1 0.9518675 myRun
1 Q0 34914029059178496	2 0.9013579 myRun
1 Q0 34843030611558400	3 0.87996495 myRun
1 Q0 31220758067814400	4 0.85469615 myRun
1 Q0 31298489577111552	5 0.85375345 myRun
1 Q0 34853834631151616	6 0.84366804 myRun
1 Q0 34845080003022848	7 0.832086 myRun
1 Q0 34952194402811904	8 0.76811254 myRun
1 Q0 34891470628462593	9 0.76811254 myRun
1 Q0 34888739083788288	10 0.76811254 myRun
1 Q0 34845084084076546	11 0.7655262 myRun
1 Q0 33457429396066304	12 0.7643386 myRun
1 Q0 34856961627389952	13 0.75707066 myRun
1 Q0 34622763004071936	14 0.7535364 myRun
1 Q0 34851134111748096	15 0.7518075 myRun
1 Q0 34254070491512832	16 0.7492227 myRun
1 Q0 34771675715211265	17 0.7465005 myRun
1 Q0 34887281231794176	18 0.744041 myRun
1 Q0 34885972533452800	19 0.74381614 myRun
1 Q0 34904181693227008	20 0.74282056 myRun
1 Q0 34927679350378496	21 0.7419102 myRun
1 Q0 33272578709794816	22 0.74103403 myRun
1 Q0 34200888859951104	23 0.7376709 myRun
1 Q0 34926022671470592	24 0.7375206 myRun
1 Q0 34865667769511936	25 0.7354057 myRun
1 Q0 34835677711433728	26 0.7330383 myRun
1 Q0 34882747570847745	27 0.7292191 myRun
1 Q0 34890358110298112	28 0.72591007 myRun
1 Q0 34882084875145216	29 0.72517926 myRun
1 Q0 34897505724399616	30 0.7217169 myRun
1 Q0 31347762272411648	31 0.7199091 myRun
1 Q0 34626302350725120	32 0.7197117 myRun
1 Q0 33107967448457216	33 0.71858096 myRun
1 Q0 34418342164955136	34 0.71728796 myRun
1 Q0 34723453084897280	35 0.7157243 myRun
1 Q0 34846146832629761	36 0.712667 myRun
1 Q0 31202325624266752	37 0.71156263 myRun
1 Q0 33689343574941696	38 0.705956 myRun
1 Q0 34916404725555200	39 0.70398223 myRun
1 Q0 34869435869167616	40 0.7027054 myRun
1 Q0 32221194124005376	41 0.7019411 myRun
1 Q0 34854435381313537	42 0.7015699 myRun
1 Q0 34577306567581697	43 0.7005329 myRun
1 Q0 34936355322601472	44 0.7003176 myRun
1 Q0 30451817603141633	45 0.7003176 myRun
1 Q0 31447851766652928	46 0.6998905 myRun
1 Q0 34173324812623873	47 0.6965494 myRun
1 Q0 33987370860683265	48 0.69564945 myRun
1 Q0 34857698700828672	49 0.6954243 myRun
1 Q0 34877039056125952	50 0.6944848 myRun
1 Q0 34896325799583744	51 0.6928494 myRun
1 Q0 34076491243466752	52 0.6923928 myRun
1 Q0 33205141876244480	53 0.69126743 myRun
1 Q0 34801422927142913	54 0.6856221 myRun
1 Q0 34913851153584128	55 0.68531036 myRun
1 Q0 34325320593186816	56 0.6852212 myRun
1 Q0 30555641466593280	57 0.6847746 myRun
1 Q0 34884195574611969	58 0.68157244 myRun
